locationName,phoneNumber,StreetAddress,City,State,PostalCode
Spring,346-298-6390,6805 N Grand Parkway Suite 805,Spring,TX,77389
Champions,281-893-0723, 5505-A FM 1960,Houston,TX,77069
Crossroads,281-720-1000,19710 Northwest Freeway (290) Suite 100,Houston,TX,77065
Kingwood,281-360-1681, 4570 Kingwood Drive,Kingwood,TX,77345
West Grand,281-395-2888, 23322 Mercantile Parkway,Katy,TX,77449
Town & Country,713-465-7370,770 W. Sam Houston Parkway N. Suite 100,Houston,TX,77024
Parkway Village,281-940-8516,1560 Eldridge Parkway Suite 190,Houston,TX,77077
Carillon,713-266-7686,10001 Westheimer Road Suite 2123,Houston,TX,77042
Sawyer Heights,832-916-4001,2423 Katy Freeway Suite E,Houston,TX,77007
Tanglewood,832-726-1315,5885 San Felipe Street Suite 100,Houston,TX,77057
Houston Galleria,713-993-0287,5015 Westheimer Road Suite 1420,Houston,TX,77056
River Oaks,713-526-9666, 2047-A West Gray,Houston,TX,77019
Meyerland,713-218-8075,4700 Beechnut Suite 620,Houston,TX,77096
First Colony,281-494-4400, 2675 Town Center Boulevard,Sugarland,TX,77479
Tulsa Hills,918-289-0348, 8115 S. Olympia Avenue West,Tulsa,OK,74107
Pearland,832-916-3598,11200 Broadway Street Suite 1600,Pearland,TX,77584
The Forum,210-306-2922,8134 Agora Parkway Suite 100,Live Oak,TX,78154
Northwoods,210-499-0208, 18030 US Hwy 281 N,San Antonio,TX,78232
Clearlake,281-316-6135, 929 West Bay Area Boulevard,Webster,TX,77598
Huebner Oaks,210-691-1227,11745 Hwy. 10 West Suite 101,San Antonio,TX,78230
Park North,210-979-9161,722 NW Loop 410 Suite 201,San Antonio,TX,78216
Alamo Heights,210-829-7291, 4820 Broadway,San Antonio ,TX,78209
Lake Jackson,979-480-1223, 401-A This Way,Lake Jackson,TX,77566
West Little Rock,501-221-7777, 12210 W. Markham Drive,Little Rock,AR,72211
Kingsgate,806-698-6313,8201 Quaker Avenue Suite 118,Lubbock,TX,79424
Shops at Martial,337-504-7369, 2207-I Kaliste Saloom Road,Lafayette,LA,70508
Jefferson,225-927-6072, 7615 Jefferson Highway,Baton Rouge,LA,70809
Perkins Rowe,225-766-1875,7707 Bluebonnet Boulevard Suite 190,Baton Rouge,LA,70810
Mandeville,985-626-7004, 3434 Highway 190,Mandeville,LA,70471
Elmwood,504-818-2450,1200 S. Clearview Pkwy Suite 1314,Harahan,LA,70123
Severn,504-456-1624,3300 Severn Suite 201,Metairie,LA,70002
Carrollton,504-861-8662, 601 S. Carrollton Avenue,New Orleans,LA,70118
Tierra Del Este,915-229-2700,3440 Joe Battle Blvd. Suite 102,,,
Fountains at Farrah,915-225-3660,8889 Gateway Blvd. West Suite 1400,El Paso,TX,79925
La Villita,915-845-9808, 6801 N. Mesa Street,El Paso,TX,79912
Uptown,505-274-7555, 2110 Louisiana Blvd. NE,Albuquerque,NM,87110
Atlanta Airport Kiosk Terminal C Gate 40,404-761-7222,6000 N. Terminal Parkway Terminal C Gate 40,Atlanta,GA,30320
Atlanta Airport Kiosk - Terminal C Gate 7,404-761-7222,"6000 N. Terminal Parkway Terminal C, Gate 7",Atlanta,GA,30320
East Cobb,770-579-3040,4101 Roswell Road Suite 812,Marietta,GA,30062
Perimeter,770-392-0516,1165 Perimeter Center West Ste 330,Atlanta,GA,30338
Gwinnett,770-814-0355,2255 Pleasant Hill Road Suite 480,Duluth,GA,30096
Buford,470-589-1528, 1795 Mall of Georgia Boulevard,Buford,GA,30519
San Tan Village,480-485-8490,2156 E. Williams Field Rd. Suite 101,Gilbert,AZ,85296
The Met,480-999-2095,3615 West Chandler Blvd Suite 7,Chandler,AZ,85226
Phoenix Sky Harbor International Airport,602-275-6582,3400 E. Sky Harbor Blvd. Terminal 4 Gate B20,Phoenix,AZ,85034
Luhrs City Center,480-436-8152,45 West Jefferson Street Suite M,Phoenix,AZ,85003
Millenia Mall,321-332-7001, 4175 Millenia Boulevard,Orlando,FL,32839
Reston,703-707-0704, 1833 Fountain Drive,Reston,VA,20190
Tysons Corner,703-962-1264, 7960 Tyson’s Corner Center,McLean,VA,22102
Kingstowne,571-385-2455,5876 Kingstowne Center Suite 100,Alexandria,VA,22315
Bailey's Crossroads,703-379-5551, 5861 Crossroads Center Way,Bailey's Crossroads,VA,22041
Downtown Crown,240-449-4879, 242 Crown Park Avenue,Gaithersburg,MD,20878
Alexandria,703-739-2854, 500 King Street,Alexandria,VA,22314
Bethesda,301-215-9142, 7607 Old Georgetown Road,Bethesda,MD,20814
Connecticut Ave.,202-780-9988,1130 Connecticut Ave. NW Suite 100,Washington ,DC,20036
Columbia,410-872-4900, 6211 Columbia Crossing,Columbia,MD,21045
